name,code,current_price,price,lowest_price,volume,turnover,next_close,logreturn,corrletion,stockID
Ocean Bio-Chem Inc,OBCI,12.86,13,12.8,659959,8476811,1,-2.554121719,1,s0
NextPlat Corp Wt,NXPLW,1,1.83,1,4206,5353,0.18,-1.714798428,0.77674663,s1
East Resources Acquisition Co W,ERESW,0.18,0.23,0.16,393990,78691,0.04,-1.504077397,0.024851528,s2
Enjoy Technology Inc Wt,ENJYW,0.04,0.04,0.03,2333,79,0.13,1.178654996,-0.142580666,s3
Mercury Ecommerce Acquisition C,MEACW,0.13,0.18,0.1,4502,562,0.4,1.123930097,-0.05190064,s4
Cingulate Inc Wt,CINGW,0.4,0.4,0.4,100,39,5.83,2.679307732,0.211417052,s5
Phoenix Motor Inc,PEV,5.83,8.4,3.45,57066900,377979856,0.08,-4.288745645,0.99726038,s6
Minority Equality Opportunities,MEOAW,0.08,0.08,0.08,200,15,0.15,0.628608659,-0.103115184,s7
Velocity Acquisition Corp Wt,VELOW,0.15,0.15,0.12,9308,1166,0.3,0.693147181,-0.051397457,s8
Fortress Value Acquisition Corp,FVIV_WS,0.3,0.3,0.19,3448,676,0.09,-1.203972804,0.021126641,s9
Sports Ventures Acquisition Cor,AKICW,0.09,0.09,0.07,6835,498,0.92,2.324564,-0.104144123,s10
ETFMG Prime 2X Daily Inverse Ju,SINV,0.92,2.97,0.92,311653,431707,1.73,0.631503017,0.808347108,s11
Visionary Education Technology ,VEDU,1.73,1.93,1.15,13127655,21689073,0.19,-2.208852615,0.864008459,s12
Brilliant Acquisition Corp Rt,BRLIR,0.19,0.19,0.14,1900,317,0.26,0.313657559,-0.009044211,s13
Social Leverage Acquisition Cor,SLAC_WS,0.26,0.26,0.14,94182,19807,0.1,-0.955511445,0.035747701,s14
Science Strategic Acquisition C,SSAAW,0.1,0.1,0.08,6100,520,0.1,0,-0.091696083,s15
Ault Disruptive Technologies Co,ADRT_WS,0.1,0.1,0.1,2065,206,0.27,0.993251773,-0.077312404,s16
Ribbit LEAP Ltd Wt,LEAP_WS,0.27,0.28,0.21,30,6637,0.42,0.441832752,0.997380937,s17
Custom Truck One Source Inc Wt,CTOS_WS,0.42,0.42,0.37,1450,592,0.99,0.857450232,0.236279328,s18
U.S. Well Services Inc-A,USWS,0.99,1.05,0.89,17223525,16808078,0.11,-2.197224577,0.659404434,s19
ClimateRock Wt,CLRCW,0.11,0.11,0.09,118756,12252,0.9,2.101914398,-0.073711145,s20
Regis Corp,RGS,0.9,0.95,0.63,4519947,3680956,0.15,-1.791759469,0.568326271,s21
Perception Capital Corp II Wt,PCCTW,0.15,0.15,0.15,4200,629,0.15,0,-0.02644858,s22
CF Acquisition Corp IV Wt,CFIVW,0.15,0.15,0.1,15367,1688,6.21,3.723280881,-0.067052481,s23
Vaccitech plc ADR,VACC,6.21,6.6,4.55,33968,197242,0.19,-3.486892103,0.995416767,s24
