entity,summary,subtract,sentiment
US stock,"Stocks rose on Friday, finishing off a strong week that saw major indexes climb higher. Riskier equities outperformed blue chips, a trend that was commonplace during the early weeks of the recovery. On Friday, the Dow Jones Industrial Average gained 162 points, or 0.6%. The S&P 500 was up 0.7% and the Nasdaq Composite was up 0.6%. For the full week, the Dow was up 2.6%, the S&P 500 was up 3.3% and the Nasdaq gained 3.4%. Year-to-date, the DJIA crossed into positive territory this week, and is up 0.4%, the S&P is up 8.6%, and the Nasdaq is up 30.4%. Over the past 52 weeks, the Dow is up 8.5%, the S&P 500 is up 19.9%, and the Nasdaq is up 46.9%. "," US stocks ended the week in positive territory for the first time in more than two years, according to the latest figures from the Dow Jones Industrial Average, which closed at a record high on Friday, and the Nasdaq closed at another record high.",positive
Apple,"Apple manufactures Smartphones, tablets, PCs, software and peripherals for a worldwide customer base. Its products include Mac desktop and mobile PCs, iPhone, iPad, Apple Watch, and various consumer products, including AirPods, Beats headphones and Apple TV. Apple services include App Store, iTunes, iCloud, Apple TV+, Apple Arcade, Apple Music, Apple Pay, and more.","Apple, one of the world's biggest technology companies, has announced plans to expand its range of products across the world, including smartphones, tablets, computers, tablets and more than 1.5bn euros (£1bn) worth of new products over the next five years.",neutral
BlackRock,"Sustainable Impact Investing is gaining traction with the global investment community. In January, BlackRock CEO Lawrence Fink, who oversees approximately $7 trillion in assets, announced that his firm would be investing in companies that are making progress on sustainability. Mr. Fink's new focus follows rapid growth in sustainable assets in recent years. According to Opimas, a management consultancy focused on global capital markets, global assets under management in ESG strategies had grown to $40.5 trillion in 2020, doubling in four years and tripling in eight years. As assets have flowed in over the past 40 years, Sustainable Impact Investing has evolved. The discipline, originally known as Socially Responsible Investing, focused at first on excluding companies for various reasons. Now, the discipline promotes ""sustainable"" business practices across all industries that can have an ""impact"" on global issues."," The world's biggest fund manager, BlackRock, has launched a new ""sustainable"" investment strategy that aims to invest in companies that make a positive impact on the world's health and well-being, as well as those that invest in them.",positive
US stock,"Stocks were mixed on Friday morning as investors weighed strong earnings reports from major technology companies and positive consumer spending data. The Commerce Department said that U.S. consumer spending rose 5.6% in June, down from 8.5% in May, but above the Reuters consensus forecast of 5.5% growth. The Dow fell 0.5%, the S&P fell 0.1%, and the Nasdaq rose 0.7%. Crude oil rose slightly to $40 per barrel, while gold jumped $28 to $1970 per ounce.","Wall Street markets closed mixed on Friday, with the Dow Jones and the S&P 500 indexes all down for the first time in more than a decade in the wake of a sell-off in oil prices and weak US consumer spending data.",positive
UK stock,"We have published our latest version of the Argus Millennial Generation portfolio. This new generation of consumers - the Millennials - has recently become the largest demographic cohort in the country, and this group, with new lifestyle preferences and different career goals, is demanding a new menu of sustainable products and services. The intersection of important Millennial trends - sustainability, healthier living, an entrepreneurial spirit - has resulted in the emergence and growth of numerous companies well suited to the new generation. Many of these companies are expected to be future industry leaders and are included in the dynamic Argus Universe of Coverage. A diversified portfolio, of course, is more than just a list of companies linked to themes. To build the Argus Millennial Generation Portfolio, we applied financial concepts such as industry diversification, income generation, risk reduction and growth at a reasonable price.","If you want to know what the future holds for the UK economy, you need to take a look at some of the companies that have been in the news since the start of the financial crisis and what they need to do to make the most of it.",positive
the US Department of Commerce,"Investors had numerous economic reports to digest this morning before the market opened. The US Department of Commerce announced that its ""third"" estimate for 1Q20 GDP growth was a rate of -5.0%.  This was in line with the previous estimates and with the consensus outlook. The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, increased at a 1.7% pace -- below the Federal Reserve's inflation target of 2.0%. Remember, these readings were for the first quarter; they will get worse in the second quarter. Still, the second quarter should be the bottom. This morning's Durable Goods report indicated an increase in spending on Durable Goods by 15.8% in May versus a decline of 17.7% in April. The Commerce Department also reported that the trade deficit in goods widened in May (bad for 2Q GDP) and that wholesale inventories declined (good for 3Q GDP, as inventories are replenished).  The U.S. Department of Labor reported that another 1.48 million people filed initial unemployment claims.  While still high, the readings have been declining from week to week.  Even so, the continuing claims number remained above 20 million. This typically has been a close approximation to the unemployment rate, which is likely to be at least 13% when reported next week."," The US economy grew at a much slower pace than expected in the first quarter of the year, according to the latest figures from the US Department of Commerce, which were revised down to 0.5% from 0.6% in the previous quarter.",positive
US stock,"Stocks rose on Tuesday morning amid improved business activity and housing market data, along with reassurances from President Trump that the U.S.-China trade deal was 'fully intact.' The president's comments came after White House trade adviser Peter Navarro suggested in a television interview that the deal was 'over.' Mr. Navarro said that his comments were taken 'wildly out of context.' On the housing front, the Commerce Department said that U.S. new home sales rose 16.6% to a seasonally adjusted annual rate of 676,000 units in May, above the Reuters consensus forecast of 640,000. The Dow rose 0.9%, the S&P 1.0%, and the Nasdaq 1.3%. Crude oil traded near $41 per barrel, while gold rose $18 to $1784 per ounce."," US stocks closed higher on Tuesday, boosted by better-than-expected US economic data and a reassurance from President Donald Trump that the US-China trade deal will not be ""crippled"" by a slump in the price of oil.",positive
the International Monetary Fund,"When the pandemic hit, people waited for things to get back to normal. Now we realize that what lies ahead is a new normal, not the old normal. Investors also are living within a new normal, and the chief characteristic is volatility.","For the first time in more than a decade, people have been living within the ""new normal"", according to the International Monetary Fund, which has set aside more than Â£1bn for emergency funds to be put in place across the world.",positive
Dow Jones,"The Technology sector has led the market recovery from the COVID-19 depths of late March.  Through April 30, the sector was flat for the year, compared to a 10% decline for the S&P 500. The sector is the largest in the U.S. market and now accounts for almost 26% of the S&P 500.  Over the long term, we expect the Tech sector to benefit from pervasive digitization across the economy, greater acceptance of transformative technologies, and the development of the Internet of Things (IoT). Healthy company and sector fundamentals are also positive. For individual companies, these include high cash levels, low debt, and broad international business exposure. We have an Over-Weight rating on the Tech sector and think investors should look to allocate up to 30% of their diversified portfolios to the group.  Here is how we use our analysts' Tech sector ideas in our Focus List and Model Portfolios."," The technology sector has been the biggest gainer on the S&P 500 in the first quarter of the year, helping to lift the Dow Jones index to a fresh all-time high of close to 7,000, its highest level since 1999.",positive
US stock,"Stocks fell sharply on Friday morning after President Trump threatened to impose new tariffs on China for its handling of the coronavirus crisis. Manufacturing data was also weak. The Institute for Supply Management said that its factory index fell to 41.5 in April, the lowest level since April 2009, from 49.1 in March. Amazon shares fell more than 7% after the company warned that it could post a quarterly loss due to high expenses related to the pandemic. The S&P fell 2.8%, the Dow 2.4%, and the Nasdaq 3.1%. Crude oil rose slightly to $19 per barrel, while gold rose $14 to $1708 per ounce.","US stocks closed lower on Friday, dragged down by weaker-than-expected US manufacturing data and a warning from Amazon that it could report a quarterly loss for the first time in more than a decade in the wake of the Ebola outbreak.",positive
UK stock,"During the trading week ended 4/17/20, the stock market balanced horrific economic news (weekly unemployment claims, retail sales, industrial production) with hopeful medical news (positive results for GILD's remedesivir) and the government's three-stage plan to reopen the economy. Although the week was positive for stocks, investors are now realizing that the damage to the economy is extensive and will possibly take years to remediate."," The latest round of trading in the UK's stock markets has been dominated by concerns about the state of the economy in the run-up to the general election on 8 June, according to the latest figures from the Office for National Statistics (ONS).",positive
stock on Wall Street,"President Trump is preparing to announce new federal guidelines for reopening the pandemic-battered economy. Meanwhile, an additional 5.2 million people filed for unemployment benefits last week, bringing the total number to 22 million over just the past four weeks. Industries trading higher today include Multiline Retail, Biotechnology, and Internet & Direct Marketing Retail. Industries trading lower include Airlines, Energy Equipment & Services, and Consumer Finance. The VIX is up 0.38 at 41.20. The Dow fell 0.4%, the S&P rose 0.3%, and the Nasdaq rose 1.5%. Crude oil traded near $20 per barrel, while gold rose $11 to $1751 per ounce.","Stocks on Wall Street closed mixed on Friday, with the Dow Jones and S&P 500 indexes edging higher, but the VIX index fell back to its lowest level in more than a decade on concerns about the health of the US economy.",positive
the Federal Reserve's,"Stocks scored a win in the trading week ended March 27-- as in the best market week in 82 years, even as Friday of that week was a down day. The rally had some investors wondering if 'the low was in.' But in past big selloffs, the confirming low re-test has come months later.","Stocks in the US have seen their biggest one-day rise in more than a decade, despite fears of a global sell-off in the wake of the Federal Reserve's decision to raise interest rates and raise the prospect of a rate rise.",positive
